username	avr_words_pr_tweet	favourites_count	followers	friends_count	listed_count	recorded_tweets	retweet_count	statuses_count	advertiser
Day Deals	14	4	1	6	0	5	0	11	1
Max Magnus Lingerie	24	22666	1126	4687	4	1	0	97	0
Thomas O'Neill	16	131201	3993	3906	17	1	1	127791	0
Abu SultaN	11	1921	638	552	0	1	1	2282	0
Nick Shepkowski	15	22100	21273	850	316	1	1	48965	1
David Snow, Privcap	21	30	3148	1643	144	1	1	6812	1
🎅🏻🎄sauce🎄🎅🏻	16	191	36	282	1	1	1	411	0
close the border	7	2717	136	104	3	1	1	5462	0
Kiringuito	7	998	75	1116	2	1	1	3172	0
Taylor🐣💚🙏	18	35232	513	460	6	2	2	29804	0
F.I.S.A	17	4342	862	2022	33	1	1	11877	0
Real Joel	17	6979	4346	4723	1	2	2	18986	0
northbynorth	22	220	195	3401	0	1	1	747	1
Pamella Diane Smith	10	74518	16287	17773	302	1	0	241621	0
john Wick é monstro dms	22	6702	121	257	0	1	1	1703	0
Izzy Wells	12	616	41	381	0	1	0	134	0
Randy Street - NRA	21	159653	4339	3865	6	1	1	31897	0
Luis✴	20	5717	110	180	0	1	1	7232	0
Margaret Corsino	18	2516	52	314	0	2	0	3011	0
Garfield House Hotel	20	51	578	1078	16	1	0	424	0
Jekyll.	20	3277	465	475	0	1	1	28496	0
Ken Kuhn	23	7766	352	828	40	1	1	7028	0
akıncı	14	23	2726	184	4	2	0	17374	0
Sudhakar Kunchi	14	11	4	45	0	1	0	11	1
Long Rodriguez	17	0	0	0	0	1	1	6	1
KB0	23	159	536	1427	18	2	2	15825	0
fred	23	2176	89	141	1	1	1	3303	0
Tipsters Club	13	1323	1578	463	15	1	0	5171	0
VueJS Berlin	21	483	491	541	3	1	1	278	1
Jaimee McAllister	27	1614	669	1519	35	1	1	48689	1
Anah Shriners	18	16	164	122	3	2	0	105	0
Matches Balone	21	117718	1413	926	123	1	1	68152	0
Factory Cat UK Ltd	16	47	370	566	15	1	1	361	1
Strawfie Challenge	24	16462	2433	4835	46	1	0	30137	1
ClarasJewelry	20	3136	6395	6107	77	2	2	127311	1
MΣ$†ΛMN ΣKCПØNΛ†	14	4	13	12	0	1	0	410	1
Barbara Main	21	172387	11763	12859	12	2	2	224341	0
Ave Maria 🎄	24	44918	4167	4531	106	2	1	51719	0
Margaret Hesse ⭐️⭐️⭐️	21	42873	586	406	0	1	1	12306	0
Remy Garaude Verdier	18	1583	1074	492	61	1	0	1853	0
Kayleys IIH ❤	21	43156	1091	4999	178	1	1	100442	0
Yvette 🇵🇷🙋♊	20	175747	639	565	78	1	1	96638	0
Krizia Janine  Suero	21	101210	195	1277	2	1	1	105072	0
Qualie 🇳🇴 [SSC] Thmeye	15	3183	1041	1157	1	3	3	2156	0
Anthony Bragg	11	55833	454	708	0	1	1	36852	0
Team B42	14	9299	2877	0	8	1	1	33365	0
Naomi	36	19886	1850	4984	39	2	2	24009	1
House Of Kittens	22	8294	347	400	9	1	1	3009	0
VWPA Podcast	25	2412	797	402	24	1	1	1337	1
Mugica Hortense	17	0	1	0	0	1	1	11	1
whimsical	19	39384	1376	1951	0	1	1	45472	0
Odlozilik Gabriel	17	0	1	54	0	1	1	61	1
all the love songs are sad songs	19	144365	6596	2183	186	1	1	297285	1
AgileFrog Media	17	2450	891	674	16	1	1	29322	1
Zakes 🇿🇦	12	1618	1014	909	4	1	1	21992	0
TomDannunzio	16	18307	180	194	2	1	1	27288	0
Sara Morrison	13	386	392	354	6	1	1	3099	0
ϟHogwartsG	30	58486	1608	2909	19	1	1	24606	0
X-republican	25	35128	188	591	0	1	1	22083	0
Nonhlanhla	27	1996	60	416	0	1	1	277	0
Windermere App	17	5657	9225	5850	1105	3	3	144200	1
Sandbox UK	12	24	234	789	46	1	0	2473	0
alessandro santoro	10	32106	1284	1080	22	1	1	30831	0
Nicolle Sturdevant	20	12034	227	492	37	1	1	6827	0
Matt Nixon	25	341	188	443	2	1	1	884	0
Vincent Regan	15	4968	127	281	4	1	1	5200	0
Kerry Elizabeth	9	64	39	24	0	1	0	44	0
trish	20	59409	3400	386	19	3	3	4817	0
App Radar	21	1216	2272	1149	108	2	0	2727	0
Turnike #NBA	11	9	19	0	0	1	0	910	0
Dave Walker	13	1220	483	2204	27	2	2	20798	0
That Dot	10	2263	209	857	3	1	1	383	0
rafa	13	6886	420	990	28	2	1	8392	0
low77	3	265	32	556	0	1	0	1753	0
IG:DJKAYSWAGGEROFFICIAL	13	1558	1950	4411	6	2	0	3181	0
KaiQom ⚽️🎮 #fifa19	23	16566	1767	819	70	1	1	56802	1
maxie™•¢om	1	189	39	325	0	1	0	582	0
#GreatBrexit 🇬🇧	10	5323	138	235	2	1	0	6087	0
Lawrence Hawkins	18	1039	18	45	1	1	1	784	0
Colby Lopez	9	391	27	38	0	1	1	201	0
Rob Art	23	6171	8102	197	110	1	1	6141	0
Melissa 🐝	12	2136	201	525	6	1	0	11162	1
Renay Taylor	17	0	0	0	0	1	1	13	1
Hilary Wellsford	19	279	27	338	0	1	0	457	1
brian with an extra n	17	61231	2460	4438	6	1	0	28854	0
Mother Nature's Daughter Resists	17	16380	2875	4994	9	1	0	11645	0
Grim Happenings	18	114	2030	1577	6	1	0	867	0
KENESIS	17	13289	317	816	2	1	1	9649	1
Tammy Untersteiner	17	0	0	0	0	1	1	29	1
07violet	27	0	469	2192	5	1	1	2765	1
Gloria Medina	25	189	49	318	1	1	1	466	0
merijn	21	17543	170	694	4	1	1	1262	0
Cristy Bodnar	22	218608	1273	1052	60	1	1	151314	1
bts_mom_💜	16	47601	1254	1823	1	1	1	54139	0
Carniburr	5	37837	66	1914	0	1	1	3758	0
Louise	21	23505	1521	265	12	10	8	1495	1
Kid Allergy Travel	20	592	181	432	0	1	1	520	0
Albert Stienstra	21	23690	632	246	35	1	1	27330	0
Beef Ent.	21	391066	173449	478049	1638	1	0	373326	0
MiraGNGuides	22	143	36	1267	0	2	2	294	1
TETSU	21	96547	0	12	6	2	2	126077	0
Touchboards.com	8	11	722	2287	37	1	0	1256	0
Johnson Gunner 🇰🇪.	8	81789	15594	13585	3	1	1	9964	0
Chitter Chatter	19	463	617	1779	27	2	0	4229	1
claud ballz	20	284	1	16	0	1	1	418	0
Sitimtrnva	17	4355	8	29	0	1	1	3117	1
David Gandy	22	9330	176	1524	0	1	1	3069	0
Oasis Florida Remodeling	11	3125	987	1158	9	2	0	832	1
Ava Solus	12	1626	10	58	0	1	1	1527	0
Alli Lansberry	20	1663	56	133	1	1	1	5873	1
Airfare Spot Europe	13	0	216	2	5	1	0	130	0
Bramble	14	575	483	208	6	1	1	2371	0
Steve Doran	18	9883	241	600	7	1	1	4257	1
Tiff🍁ny💲	21	3070	735	736	37	1	1	16285	0
Rudolph Bohn	9	0	4	21	0	1	1	2548	1
HerWornPanties	27	52095	12310	895	85	1	1	30483	1
pineapplesquash	25	9056	2	1382	0	1	1	2012	0
M.M	23	28255	1088	2706	0	3	3	5750	0
Eunice Wilkins	21	718	31	92	1	1	0	471	1
Weronika	20	5661	19	130	0	1	1	1307	0
AfterActionReporting.org  🇨🇮🇺🇸 🇦🇹🇻🇦	5	1412	1580	4455	12	1	0	30171	0
Daniel Ellis	12	1	121	157	66	1	0	3016	0
Chelsea Lyn Meyer	14	999	1029	2075	12	1	0	1146	0
Margaret Baker	29	987	164	677	17	1	1	751	0
Tech Tube	13	18	112	6	0	1	0	472	1
Euan Washbourn	5	2638	96	503	0	1	0	313	0
Indraneel Biswas	12	491	429	1779	56	1	0	5319	0
bicini Elizbeth	17	0	0	0	0	1	1	16	1
abdul gaffar jamal	21	189	51	487	0	1	1	8710	0
Elena Osorio	23	8399	231	931	3	1	1	6194	0
Pound_Sand	7	3757	2908	3357	37	1	1	26547	0
Nick Barker	6	3648	312	221	1	1	0	10690	0
Xteanah	15	759	62	114	0	1	1	1161	0
Seyma Shabbir	20	61924	6018	5766	400	2	1	157256	1
Kuma	13	11814	339	836	4	1	1	3453	0
Q9 Powersports USA	20	0	749	2	0	1	0	666	0
Nthato Cibi	4	13914	654	1469	0	2	1	981	0
Janet Moore	22	2941	531	17	82	1	0	29447	0
Fiona Martin	22	4607	5878	5715	163	3	3	57069	0
Mus Ling	9	2922	59	96	0	2	1	668	1
Mary McMahon	19	94519	1102	4629	2	1	1	49615	1
Juan Fernando Garcia	23	807	179	171	15	1	0	1264	1
Aya. Ⓜ️	26	5917	1271	1167	10	1	1	31964	0
Raymond	14	21204	509	475	2	6	4	3798	0
Kim Arnold	24	24678	1267	925	11	1	1	32151	0
Kevin ⚡️	13	79571	1109	1049	12	1	1	29915	0
Ayenzire Sheilah	14	260	34	30	0	1	1	313	0
jreboul	26	280	578	870	97	1	1	3734	1
~TheLazyOne~	22	73154	3459	4830	136	2	1	75778	0
Bradley Russell	22	1454	53	158	4	1	0	1269	0
Michael Wilson	16	14	18	92	0	2	0	90	0
Joseph Richard Préville	21	0	193	1712	0	1	1	2511	0
Rodger Varley	19	178635	2958	2202	59	1	1	153100	0
Rory Philbin	6	35050	201	933	4	1	0	31205	0
London Vintage	18	552	744	1062	4	1	0	523	0
Jack Burton Says	24	66	340	0	2	1	0	938	0
Pearl Eco Group	11	21	1562	477	1673	1	1	76462	0
Ck gangwani	21	54731	1463	5002	41	1	1	66273	0
Pk HF Idle-Empire.com	20	17132	1240	4224	46	1	1	165124	1
VULGAROS	21	720	359	327	0	1	1	1971	0
Don	17	198079	1434	811	17	6	4	33880	1
Alan Bowman	21	173821	21105	23372	528	1	1	271889	0
PCM projects	13	121	460	636	27	2	0	1945	0
Dom	12	17343	683	1356	12	3	2	11820	0
enmanuel12	16	214	202	444	0	1	1	1483	0
kasey	5	584	156	105	1	1	1	512	0
Confessions of an Avid Reader - NaNoWriMo Mode	21	170	226	244	4	1	0	535	0
Jonathan Dodd	13	12194	315	217	0	1	1	7072	0
Zoe "#VOTE" Washburne🌊💜	21	66313	26087	25975	46	1	1	119690	0
PEARL	22	46519	185	41	29	3	3	118415	0
Francis Reyes	24	23625	532	741	32	1	1	16558	0
🍃🇪🇺FFFFF..	24	28332	722	651	89	1	0	41454	0
TSLA_opinion	19	4194	511	795	15	1	1	6683	0
Will H. Goldstone II: Vengeance	9	9892	13190	5174	510	1	1	38230	0
Hunter + Boo	15	45	213	659	3	1	0	190	1
Jaacobz	13	3355	201	39	0	1	0	377	0
Randy Joyce	22	2242	22	81	2	1	1	817	1
blackmelanoid	15	6765	389	370	4	2	2	614	0
Andrew Walker	12	26029	405	1321	12	1	0	5192	0
@Bصاحب الزمان	9	634	147	108	0	1	0	7809	0
Andrew Simpson	20	7344	42	293	1	1	1	2471	0
Mmmminnich	19	11675	69	492	0	2	2	652	0
Henrique Ribeiro	9	14	284	807	0	1	0	1997	0
Jesus Manuel Monti	21	83260	1168	1585	4	2	2	76337	0
YaffaDina	23	42149	1868	1525	76	1	1	114187	1
Z2228art.	19	9298	390	1289	2	1	1	6658	0
Eric Koenig	22	3418	22	234	0	1	1	1129	0
VAL•IN•VOGUE	9	250	74	405	0	1	0	200	0
PINK POISON COSMETICS	20	5144	18236	173	84	2	2	15347	0
goodperson785	13	2770	102	598	1	1	1	4153	0
Dorthey Parmelee	17	0	0	0	0	1	1	91	1
#SummerStudio 📷🇳🇦	15	2282	6883	7280	41	1	0	44459	1
Alyssa damato	24	78136	398	342	0	1	1	78223	0
Michael Kristensen	17	97	11	390	0	1	1	311	1
NYPD 45th Precinct	23	3490	8394	443	126	1	1	2806	1
Alex Grogut	8	22	25	344	0	1	1	32	0
Conservatives4PublicOption	11	568	9	74	0	1	1	552	0
Ileana Kjar	17	0	2	714	0	1	1	135	1
Kansrijk NL	4	15194	1535	4473	179	1	0	18655	0
michel touma 🇨🇦	19	655	22	170	0	1	1	2093	0
TRAVELOLO	15	5	9	9	0	1	0	228	0
Stephanie McDonnell	27	70646	367	1196	2	1	1	17003	0
Kieran Clark	17	2864	314	292	19	1	0	87456	0
Helen Carson	20	36	82	961	0	1	1	339	0
Hillary mensah	6	18	13	70	0	1	0	5	0
RememberHer♕	12	8379	1252	1166	2	1	1	13283	0
SafetySock	17	2941	504	1365	11	2	0	869	1
Peter Dunkley	23	50439	1493	1195	50	1	1	21651	0
IamQte	19	3499	186	26	0	1	1	1669	0
Susan W. Thompson	23	16842	5486	5374	6	1	1	18575	1
𝚕𝚊𝚞𝚛𝚎𝚗 ♡	21	1639	585	603	0	1	0	3025	0
Nanaimo SR “A” Timbermen	21	3195	2239	620	39	1	1	7295	0
THESensualhorny (18+) NL 🇱🇺	19	36720	32818	3953	131	1	1	65151	0
Kimmler	10	49202	2709	3918	1	1	1	40132	0
Manuel R. Ron	18	941	107	346	7	1	1	1048	0
pamela hodgson	20	23482	838	5000	43	1	1	40060	0
IG: Beauty_Lashay_	23	30	856	671	1	1	1	28695	1
Kevin Docherty	10	1403	21	80	0	1	0	488	1
Ed Mercado	22	52550	638	1246	15	1	1	55308	0
Lovemore Music	12	6	26	67	0	1	0	52	0
GhettoChild	8	319	23	154	0	2	2	336	0
G. Laure	17	433	1610	1231	531	1	1	52928	0
Dan Woo	20	4300	71	138	12	1	1	6099	0
BottomsUpBartending	20	74	148	372	0	1	0	634	0
Jimijams	24	34	1458	1154	45	1	0	36811	0
Donald Williams ⭐️⭐️⭐️	6	6870	6544	6857	0	1	0	13571	0
21	24	28	67	77	0	1	1	1127	0
Grapefruitcankillyou	7	1354	333	238	0	1	0	1892	0
Greta	20	15176	2376	614	103	1	1	87928	1
Chgo75	11	119	35	265	0	1	0	107	0
Muhammed Ra'ees	23	6916	484	761	4	1	1	18902	0
Voltic	15	6870	163	922	1	1	1	11358	0
Xellentro Consulting	12	475	306	353	39	3	0	894	1
Andrea	20	33096	892	114	3	10	10	7055	1
Voodoo Chilli Bar	24	1206	134	270	4	2	1	1306	0
Kristina Mc	27	1662	643	2934	113	1	1	37421	1
UKCarLease	23	110	1592	1931	510	1	1	77347	1
Carolynn Crabb	20	865	531	2287	15	1	1	13736	0
Mev Abey💜/SAW BTS IN HAMILTON!!	17	15901	674	431	1	1	1	11302	1
Always Good Stuff	22	0	4	1	0	7	1	26	0
Working Class Summit	15	0	4	0	0	1	0	4	0
Rex Myers 45⭐⭐⭐❌	24	90557	8433	8566	6	3	3	71538	0
Max Settings	24	1459	46	87	0	1	1	3682	1
Vortex Rest. Equip	24	4776	1376	511	38	1	0	4071	0
Webterior Designs	8	3	3	11	0	1	0	10	0
Kaito Cross	18	740	201	589	7	1	0	1609	1
Complexo 🌙 📼 🍕 👑	12	30690	1528	2764	52	1	1	397624	0
taisia p	25	2848	93	69	0	1	1	123	0
Igor Stevanovic	14	89	32	99	3	1	0	57	1
CARVAL  🇧🇼	7	72633	6652	7098	16	1	1	6879	0
Mustafa Jumale	24	1086	244	992	0	1	0	699	0
Roo Lyfe International	16	4461	11365	12903	91	1	1	17807	0
victoria perez	5	5129	70	164	1	1	1	1143	0
khid trvlx	13	6487	1791	1116	1	1	0	1378	1
Inell Kabajr	17	0	2	193	0	1	1	81	1
Eligible Magazine	20	878	1776	1010	127	1	0	10303	0
Safer Home Services	11	498	543	1034	2	3	0	299	0
Kimberley Etwaro	1	425	57	957	0	1	0	124	0
Gary beales	20	92	57	704	0	1	1	287	0
Sphumelele Mncwabe	1	1961	426	465	15	1	0	1284	0
Muharrem RENÇBER	2	6491	376	242	2	1	0	5762	0
Andrew Schroeder	20	415	170	141	0	1	1	176	0
🇺🇸Sandra Lind🇺🇸	24	11337	1983	2489	2	1	1	8226	0
Timothy Sable	26	1239	47	123	1	1	1	7856	0
🌊Nelle🌊  #MerrickGarland #WeWillNotForget	23	25523	2106	3226	11	1	1	41444	0
👩‍🎨🎨 αℓιcε gεηтιℓι 📱👩‍💻	13	10936	2575	2408	181	1	0	8806	0
Pepa Maca #NOPASARAN	3	53434	282	233	14	1	0	11951	0
Moretti's Hoffman	16	5	17	55	0	1	0	243	0
Hollie Jahnke	27	3316	1409	5001	66	1	1	19378	1
IsaM	25	20674	206	373	0	1	1	17131	0
Rocky Mtn Naturals	23	574	5109	5622	139	1	1	90431	1
Laca	9	608	40	42	0	1	1	322	0
Mrs. Deplorable ✝🇺🇸🦅✈️	21	10685	3103	3707	1	1	1	7040	0
quavo ❖	23	55850	794	580	22	1	1	50626	0
anoop george	9	2	138	200	28	1	0	2122	0
Sergio Sáez	7	838	347	437	0	1	1	1112	0
Vintage Love	18	509	335	843	2	5	5	1164	1
Jacobthegamer_	22	698	29	152	0	1	1	1556	0
Lokesh Dutta	19	3137	39	155	0	2	2	1493	1
d(-_-)b	15	14	23246	1	26	3	3	41412	1
Josh I	23	2437	54	129	0	1	0	796	0
Bliss Brand Store	10	11	471	1106	0	1	0	462	0
Andrew Lees	15	2306	252	378	9	1	1	3283	1
WP Themes	14	4503	547	1046	77	1	0	5224	0
ben unrer	14	1881	15	102	0	1	1	46	0
ElementalSolace	19	1228	25	77	0	1	1	1241	0
Margaret Dumas	23	56804	366	174	6	1	1	58788	1
Fromthekitchentable	21	2285	938	4416	101	5	5	27766	0
IG: EVE	26	3094	561	1273	1	1	1	2685	0
Tamara	20	50607	1745	278	42	3	3	64320	0
Amit Singh	20	90	20	156	0	1	1	89	0
Santina chaves	24	90747	1051	5012	8	2	2	39667	0
uMamakho	15	1177	623	146	1	1	0	6329	0
justgrace1776	24	15210	522	683	4	1	1	17734	0
Emuron Plaatjies	26	73	328	2161	5	1	1	3991	0
Makeda Bowen aka Sarcasticsloganapparel	13	158	26	93	0	1	0	55	0
Caroline Robinson	6	5972	320	1625	1	1	0	3330	0
GROW: in Cambridge	15	2	150	1189	0	1	0	10	0
Arsenalnewsasit	9	253406	28406	25312	47	1	1	9648	0
Ivette Mccall	17	0	1	0	0	1	1	5	1
Babak Morshedizadeh 🐾❤️🌞🌻🐝🇨🇦🦄🍌🐽🚙	21	18	1152	591	79	1	1	48473	0
Airfare Spot Canada	14	0	128	3	7	1	0	146	0
ネコマタ NEKOMATA(handle)🇯🇵🐘	22	50991	15864	16029	4	2	2	75489	0
Antonio Vega	13	84	0	22	0	5	5	68	0
PurvGang	10	154	64	6	42	2	0	2584	0
Monica Prince	11	9384	706	1377	30	1	0	5982	0
Richard Asher	23	139	672	623	41	2	0	4375	0
gretta	17	0	0	0	0	1	1	38	1
NationalistFlicka	18	3694	1837	1620	34	2	0	4394	0
Andrew Roper	23	79	165	57	1	1	0	295	0
manalvarado🇲🇽	24	1338	201	917	4	1	1	13172	0
Shaakira	13	189373	509	1163	24	2	2	91172	0
The Insider	14	127	479	616	18	1	0	919	0
Royal highness	6	386	512	1950	0	1	0	295	0
Démi	9	546	780	508	2	1	1	22296	0
друг	11	24157	19	346	0	1	0	4616	0
TONYINBHAM	10	24406	151	54	3	1	1	5832	0
LuisBTW	14	5	0	5	0	1	0	4	1
Skhambeleni King	16	221	1111	528	6	1	0	28814	0
Trudee	23	12900	231	225	0	1	1	9167	1
Joanna 🌸	24	44644	1151	450	45	1	1	180603	0
Nicole Primavera	17	226	347	238	13	1	0	1228	0
Sushama Ananna	12	22022	4125	3727	740	7	6	22719	0
Ryan Wünsch	14	17468	4879	334	114	1	0	6945	1
Ali Jennings	17	0	0	0	0	1	1	18	1
George Stoumpos	10	5211	200	633	2	1	0	5021	0
Michelle Louise	15	3126	346	455	3	1	0	622	1
Ghost Hack You	19	49377	1091	911	8	1	1	139788	0
simonds Lindstrom	17	0	0	0	0	1	1	17	1
Keith Lee	11	5181	6690	302	279	1	1	24451	0
Nicole Hilbert	10	1344	208	195	1	1	0	1078	0
Phyllis Conner	19	16	4410	4143	2046	1	1	128945	0
Naomi Wildman, sub-unit of Ensign Samantha Wildman	22	174	36	234	0	1	1	1477	0
Aurora Elizabeth	30	5328	684	826	7	1	1	10960	0
Terry Sanford	26	17303	437	1398	20	1	1	18350	0
90switz	17	5025	98	44	0	1	1	1864	0
Pertemps Professional Recruitment	20	45	48	240	1	1	1	127	0
Kimbra Demartino	17	0	0	0	0	1	1	79	1
NY Comedy Tickets	11	606	1261	2272	15	7	0	707	1
J. D. Carvajal Galvis	20	8675	78	59	4	1	1	124	0
Chris R Muscat ¯\_(ツ)_/¯	15	1458	557	547	111	1	1	19317	1
Tony Elvin	24	8312	1694	834	20	1	1	5540	0
Thusego Mape	26	3268	196	684	0	1	1	1352	0
farmboy45 show	14	39	143	153	0	1	0	1239	1
RedNubian	12	9462	2084	2979	288	1	0	167329	0
Cory Nelson	22	581	68	71	1	1	1	2968	0
Danny Whilden	11	24687	294	308	7	1	0	5098	0
Lennie Lawrence	17	0	1	0	0	1	1	24	1
I Party w/ Jesus	10	8244	1880	3063	50	1	1	43754	0
Social Zebra Digital	11	6712	919	1862	1	2	1	8938	0
Happiwifelife	24	192	328	362	0	2	1	78	0
Vickie Cagle	27	2212	149	757	1	1	1	2227	1
رباب	25	24507	249	453	12	1	1	13525	0
upursbetty	22	59161	1662	3910	15	1	1	13779	0
PghGirl💛🖤🇮🇹 ☃️❄	13	81334	2554	5001	24	1	1	111566	0
Nick of the Hart Family	8	11215	1157	862	31	1	1	21842	0
Re: Redlight	6	2978	234	258	0	1	1	653	0
sarmdog millionaire	15	10408	262	289	0	1	1	1140	1
Sprites Primary	18	206	290	14	9	1	0	305	0
M & J Wedding Services	13	2	4	10	0	1	0	17	0
Chickenbone John	16	12341	1087	2125	50	1	0	10755	0
Buying Time llc	17	82	534	474	43	1	0	2996	0
BURGA - Say My Name	19	1986	7942	1262	40	1	0	10732	0
Jonathan Davis	7	5022	721	1160	2	1	1	1741	0
Colby Jack	21	14	4	21	0	1	1	1	0
Bananaa	14	20	3	18	0	1	0	13	1
El Harti	4	769	243	480	15	1	1	9777	0
Blvk_Unicorn	13	221	203	121	0	1	0	818	0
Luis Modestti	5	2704	8727	924	80	1	1	82100	0
Electrically Effective	18	990	540	777	1	1	0	704	0
Sample Sound Review	20	489	285	348	3	1	0	728	1
Margarita Mercado	6	3409	55	212	4	1	0	1237	0
pop	7	144	86	229	1	1	1	294	0
Wiseman Ambasi	18	2932	853	501	0	1	1	3602	0
Alex Waggoner	24	164	37	46	2	1	0	202	0
Liliana Blum	20	10766	1232	736	38	2	2	36407	0
👑North👑	8	8037	2603	364	16	3	1	4050	0
Kjorno	14	308	481	828	7	1	0	11192	0
Oulton Hall	24	2122	5473	939	97	1	0	3533	0
Sarah O`Gorman	19	34	35	294	0	1	1	19	0
UB Allgemeine Zeitung 🗞	22	159679	14337	15755	210	2	2	120923	0
Wolfoso	21	48180	163	423	24	1	1	38779	1
Nicola Cocco	25	4435	569	982	59	1	1	10858	1
Jeanmarie Violaris	17	0	1	0	0	1	1	29	1
Miri Castor	9	8856	744	597	61	1	0	6200	0
PaulaBellue@PaulaBellue	13	4330	634	1252	2	1	0	3757	0
Jeb!	14	1220	10	69	0	1	1	350	0
Bassing Freak	28	8	1059	1080	80	1	1	79770	0
Mister Kevin	27	2414	57	77	2	1	1	754	1
S5moi	21	4852	205	714	0	2	2	18727	0
mikichoo	19	2787	1302	491	30	1	1	167654	0
Alycen Rockwell	7	3117	385	672	3	1	0	6859	0
Shrimp Lo Mien 🍤🍜	16	22553	155	116	45	2	2	15145	0
SD Thrift Stores	20	68	223	395	13	2	0	350	0
Tamara L. Siuda	12	2976	1165	233	72	1	0	63950	0
Raul	17	9327	1161	926	36	4	1	26638	0
Inma Aparici Sancho📚🌍🛠. Con 💖, 🌈 y🌻🌻🌻. 🤗	7	9673	2153	4719	69	1	1	5651	0
Steve Williams	16	17210	767	639	29	1	1	55053	0
Daboy	12	806	71	130	0	1	1	1232	0
MR.CHRISTOPHER	23	38	378	4	0	4	4	6480	0
Cat Whitlow	20	1605	140	1813	1	1	1	4374	0
The Flair Exchange	22	518	1724	266	33	1	0	3643	1
The Furn Shop	18	148	242	1224	0	1	0	124	0
NYPD 84th Precinct	20	469	8619	249	134	1	0	1415	0
Downtown Halifax	20	3600	52433	717	440	1	1	24918	1
ZenfinityDesigns	20	40397	9783	9444	79	3	3	49837	0
Jacqueline Grimes	17	0	2	0	0	1	1	92	1
TheRoadToDrWalDO	26	1270	49	283	0	1	0	367	0
Mellie Adams-Yee	19	29215	1757	1850	29	1	1	28201	0
Friendly Vegan News	15	1509	5258	5125	64	3	3	18834	0
Mike Nationalist Peck       🍿 ▄︻̷̿┻̿═━一	23	25612	3923	3976	1	1	1	27966	0
トクオタ	16	8931	1273	2464	3	1	1	7867	0
Jojoandmycrazyfam	23	935	74	881	0	1	1	1215	0
Niyama Pandya	19	23672	3336	4960	1	1	1	2549	1
Chasity Crespo-Morre	25	293	19	97	2	1	1	94	0
RASHAD™️	4	316	17184	5306	396	1	0	274300	1
Emma Crates	25	3523	1034	1248	54	1	1	1950	0
AFRIKAN	22	14937	22582	19896	24	1	1	42951	0
swizzi h	12	45	33	13	0	1	1	88	0
Matthew+	10	101566	420	970	0	2	1	8710	0
C.Dahl Jewelry	21	1229	373	1316	30	1	0	512	1
Credit Union of ATL	20	1	7	21	0	1	0	77	0
telopidoporfavor 〽️	22	1521	12686	2418	2	1	1	4831	1
Vincent Dunn	13	7258	571	1374	40	1	1	30013	0
RougeOne (e_toh004 was here)	16	387	26	144	0	1	1	156	0
Harsh Kohli	20	80693	976	4997	15	3	3	39438	1
Rodrigo Sella	25	5148	14	202	0	1	1	252	1
Brenda  Barry	22	55821	16903	11363	1161	2	2	169360	0
C Christner	12	9771	55	352	1	1	1	12973	0
Turd Ferguson	20	28069	1501	2003	27	1	1	34361	0
💲TERRON!👁💲	20	1611	582	530	1	1	0	3305	0
Jack.	19	0	0	0	0	1	0	7	0
Gloria Aguirre	27	306	20	239	0	1	1	186	0
RamblingGeek 🇬🇧	19	8780	413	1792	26	1	1	12298	0
Artney	19	10735	3328	2293	185	2	2	56316	1
Marianne // DYOB	14	11325	8714	7494	536	1	0	36687	0
Thunk Tank Podcast	19	4663	579	660	7	1	0	1470	0
Leonard Tillerman	16	46784	20347	15227	284	3	3	63414	0
Claire Sells	20	1081	502	511	29	1	1	2216	0
Micah Sullivan	17	0	0	109	0	1	1	6	1
Erik, Opera Ghost.	22	13137	3343	1543	48	1	1	263413	0
New England Account Receivable Management	6	46	3	38	0	1	0	33	0
Calypso	11	7344	291	437	1	1	1	4899	0
BigLezNyc	15	2288	940	1414	12	1	1	10994	1
Roger Weston	12	8112	2290	1789	271	1	0	36537	0
andrea•nicolini	19	3033	311	1011	24	3	0	8036	1
TheRealizer367 [ Commissions Open ♡]	21	9761	199	631	0	1	1	5482	1
Borja Macias	23	3754	1614	201	11	2	2	1022	1
Mary Fahey	23	2733	239	286	4	1	1	7446	0
Tech Toy Store Deals	15	0	6	15	7	2	0	1041	0
SSD Nodes	23	109	13743	10622	132	3	0	1233	1
Mandee Nichols	24	113	36	70	0	1	0	218	0
Chan Ban🐘	10	9607	632	560	3	1	1	6588	0
Neida Mills	17	0	0	66	0	1	1	10	1
kathrin	16	7481	401	358	8	6	0	623	1
MKENYA ACTIVE™	18	95243	9135	2732	0	1	1	90826	0
Jacqueline Bunker	8	174	138	43	2	1	0	4351	0
❌Teresa⭐️⭐️⭐️	21	34307	7327	7443	4	1	1	40420	0
CrownCloud	18	9	165	4	3	4	0	183	1
Ibbleobble®	11	1850	4102	5001	646	8	0	42644	1
hubbs	23	11337	46	403	0	1	1	3530	1
Javier Garza	17	2900	7	324	0	1	1	410	1
Roy Ellaby	22	44704	754	2861	23	1	1	18320	1
BriteHeart	19	6442	389	953	1	1	0	6495	0
Kip	16	1433	744	943	0	1	1	1194	0
원리퍼블릭	24	39	40	10	0	1	1	911	1
♫MU$I© J❥NE$	12	420	3227	1247	179	1	0	55826	0
🦋🐞 susie moore 🐞🦋	22	9681	479	4782	2	1	1	17713	0
